--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
cropped_images/crop_meme_0_pt_71.jpg	sensual                  	0.9949
cropped_images/crop_meme_0_pt_72.jpg	and                      	0.9954
cropped_images/crop_meme_0_pt_73.jpg	tactual                  	0.6317
cropped_images/crop_meme_0_pt_74.jpg	Thirteen                 	0.8181
cropped_images/crop_meme_0_pt_75.jpg	Crays                    	0.9992
cropped_images/crop_meme_0_pt_76.jpg	found                    	0.9974
cropped_images/crop_meme_0_pt_77.jpg	not                      	0.9700
cropped_images/crop_meme_0_pt_78.jpg	the                      	0.9998
cropped_images/crop_meme_0_pt_79.jpg	proper                   	0.9996
cropped_images/crop_meme_0_pt_80.jpg	fractal.                 	0.9442
cropped_images/crop_meme_0_pt_81.jpg	And                      	0.9999
cropped_images/crop_meme_0_pt_82.jpg	while                    	0.9947
cropped_images/crop_meme_0_pt_83.jpg	these                    	0.9471
cropped_images/crop_meme_0_pt_84.jpg	set                      	0.9642
cropped_images/crop_meme_0_pt_85.jpg	backs                    	0.9969
cropped_images/crop_meme_0_pt_86.jpg	are                      	0.8798
cropped_images/crop_meme_0_pt_87.jpg	all                      	0.9960
cropped_images/crop_meme_0_pt_88.jpg	quite                    	0.9811
cropped_images/crop_meme_0_pt_89.jpg	sover                    	0.4480
cropped_images/crop_meme_0_pt_90.jpg	a                        	0.3896
cropped_images/crop_meme_0_pt_91.jpg	might                    	0.9995
cropped_images/crop_meme_0_pt_92.jpg	have                     	0.9424
cropped_images/crop_meme_0_pt_93.jpg	fixed                    	0.9989
cropped_images/crop_meme_0_pt_94.jpg	them                     	0.9990
cropped_images/crop_meme_0_pt_95.jpg	with                     	0.9999
cropped_images/crop_meme_0_pt_96.jpg	hacks                    	0.8109
cropped_images/crop_meme_0_pt_97.jpg	here                     	0.9809
cropped_images/crop_meme_0_pt_98.jpg	or                       	0.9988
cropped_images/crop_meme_0_pt_99.jpg	there                    	0.9999
cropped_images/crop_meme_0_pt_100.jpg	But                      	0.9975
cropped_images/crop_meme_0_pt_101.jpg	when                     	0.9995
cropped_images/crop_meme_0_pt_102.jpg	filters                  	0.7260
cropped_images/crop_meme_0_pt_103.jpg	took                     	0.5199
cropped_images/crop_meme_0_pt_104.jpg	sparkle                  	0.8447
cropped_images/crop_meme_0_pt_105.jpg	from                     	0.9990
cropped_images/crop_meme_0_pt_106.jpg	your                     	0.9996
cropped_images/crop_meme_0_pt_107.jpg	eyes                     	0.2085
cropped_images/crop_meme_0_pt_108.jpg	I                        	0.2047
cropped_images/crop_meme_0_pt_109.jpg	said,                    	0.9947
cropped_images/crop_meme_0_pt_110.jpg	Damn                     	0.9707
cropped_images/crop_meme_0_pt_111.jpg	all                      	0.9972
cropped_images/crop_meme_0_pt_112.jpg	this.                    	0.9944
cropped_images/crop_meme_0_pt_113.jpg	I'll                     	0.9924
cropped_images/crop_meme_0_pt_114.jpg	just                     	0.9993
cropped_images/crop_meme_0_pt_115.jpg	digitize.                	0.8738
cropped_images/crop_meme_0_pt_116.jpg	Thomas                   	0.9927
cropped_images/crop_meme_0_pt_117.jpg	Colth                    	0.7731
cropped_images/crop_meme_0_pt_118.jpg	nost                     	0.4257
